Series_reference,Period,Data_value,Suppressed,STATUS
BDCQ.SEA1AT,2019.12,95217,,R
BDCQ.SEA1AT,2020.03,96050,,R
BDCQ.SEA1AT,2020.06,97586,,R
BDCQ.SEA1AT,2020.09,99073,,R
BDCQ.SEA1AT,2020.12,98791,,R
BDCQ.SEA1AT,2021.03,97523,,R
BDCQ.SEA1AT,2021.06,97290,,R
BDCQ.SEA1AT,2021.09,97739,,R
BDCQ.SEA1AT,2021.12,97799,,R
BDCQ.SEA1AT,2022.03,97776,,R
BDCQ.SEA1AT,2022.06,97781,,R
BDCQ.SEA1AT,2022.09,96810,,R
BDCQ.SEA1AT,2022.12,95338,,R
BDCQ.SEA1AT,2023.03,95168,,R
BDCQ.SEA1AT,2023.06,95473,,F
BDCQ.SEA1BA,2011.06,5234,,F
BDCQ.SEA1BA,2011.09,5268,,F
BDCQ.SEA1BA,2011.12,5499,,F
BDCQ.SEA1BA,2012.03,5811,,F
BDCQ.SEA1BA,2012.06,5847,,F
BDCQ.SEA1BA,2012.09,5922,,F
BDCQ.SEA1BA,2012.12,5722,,F
BDCQ.SEA1BA,2013.03,5487,,F
BDCQ.SEA1BA,2013.06,5506,,F
BDCQ.SEA1BA,2013.09,5540,,F
BDCQ.SEA1BA,2013.12,5492,,F
BDCQ.SEA1BA,2014.03,6004,,F
BDCQ.SEA1BA,2014.06,5886,,F
BDCQ.SEA1BA,2014.09,5815,,F
BDCQ.SEA1BA,2014.12,5592,,F
BDCQ.SEA1BA,2015.03,5300,,F
BDCQ.SEA1BA,2015.06,5422,,F
BDCQ.SEA1BA,2015.09,5199,,F
BDCQ.SEA1BA,2015.12,5060,,F
BDCQ.SEA1BA,2016.03,5194,,F
BDCQ.SEA1BA,2016.06,5080,,F
BDCQ.SEA1BA,2016.09,5129,,F
BDCQ.SEA1BA,2016.12,5157,,F
BDCQ.SEA1BA,2017.03,5264,,F
BDCQ.SEA1BA,2017.06,5164,,F
BDCQ.SEA1BA,2017.09,5208,,F
BDCQ.SEA1BA,2017.12,5381,,F
BDCQ.SEA1BA,2018.03,5370,,F
BDCQ.SEA1BA,2018.06,5385,,F
BDCQ.SEA1BA,2018.09,5461,,F
BDCQ.SEA1BA,2018.12,5434,,F
BDCQ.SEA1BA,2019.03,5437,,F
BDCQ.SEA1BA,2019.06,5068,,F
BDCQ.SEA1BA,2019.09,5370,,F
BDCQ.SEA1BA,2019.12,5165,,F
BDCQ.SEA1BA,2020.03,5267,,F
BDCQ.SEA1BA,2020.06,5245,,F
BDCQ.SEA1BA,2020.09,5355,,R
BDCQ.SEA1BA,2020.12,5295,,R
BDCQ.SEA1BA,2021.03,5384,,R
BDCQ.SEA1BA,2021.06,5353,,R
BDCQ.SEA1BA,2021.09,5354,,R
BDCQ.SEA1BA,2021.12,5410,,R
BDCQ.SEA1BA,2022.03,5427,,R
BDCQ.SEA1BA,2022.06,5548,,R
BDCQ.SEA1BA,2022.09,5490,,R
BDCQ.SEA1BA,2022.12,5653,,R
BDCQ.SEA1BA,2023.03,5717,,F
BDCQ.SEA1BA,2023.06,5874,,F
BDCQ.SEA1BS,2011.06,5234,,R
BDCQ.SEA1BS,2011.09,5268,,R
BDCQ.SEA1BS,2011.12,5499,,R
BDCQ.SEA1BS,2012.03,5811,,R
BDCQ.SEA1BS,2012.06,5847,,R
BDCQ.SEA1BS,2012.09,5922,,R
BDCQ.SEA1BS,2012.12,5722,,R
BDCQ.SEA1BS,2013.03,5487,,R
BDCQ.SEA1BS,2013.06,5506,,R
BDCQ.SEA1BS,2013.09,5540,,R
BDCQ.SEA1BS,2013.12,5492,,R
BDCQ.SEA1BS,2014.03,6004,,R
BDCQ.SEA1BS,2014.06,5886,,R
BDCQ.SEA1BS,2014.09,5815,,R
BDCQ.SEA1BS,2014.12,5592,,R
BDCQ.SEA1BS,2015.03,5300,,R
BDCQ.SEA1BS,2015.06,5422,,R
BDCQ.SEA1BS,2015.09,5199,,R
BDCQ.SEA1BS,2015.12,5060,,R
BDCQ.SEA1BS,2016.03,5194,,R
BDCQ.SEA1BS,2016.06,5080,,R
BDCQ.SEA1BS,2016.09,5129,,R
BDCQ.SEA1BS,2016.12,5157,,R
BDCQ.SEA1BS,2017.03,5264,,R
BDCQ.SEA1BS,2017.06,5164,,R
BDCQ.SEA1BS,2017.09,5208,,R
BDCQ.SEA1BS,2017.12,5381,,R
BDCQ.SEA1BS,2018.03,5370,,R
BDCQ.SEA1BS,2018.06,5385,,R
BDCQ.SEA1BS,2018.09,5461,,R
BDCQ.SEA1BS,2018.12,5434,,R
BDCQ.SEA1BS,2019.03,5437,,R
BDCQ.SEA1BS,2019.06,5068,,R
BDCQ.SEA1BS,2019.09,5370,,R
BDCQ.SEA1BS,2019.12,5165,,R
BDCQ.SEA1BS,2020.03,5267,,R
BDCQ.SEA1BS,2020.06,5245,,R
BDCQ.SEA1BS,2020.09,5355,,R
BDCQ.SEA1BS,2020.12,5295,,R
BDCQ.SEA1BS,2021.03,5384,,R
BDCQ.SEA1BS,2021.06,5353,,R
BDCQ.SEA1BS,2021.09,5354,,R
BDCQ.SEA1BS,2021.12,5410,,R
BDCQ.SEA1BS,2022.03,5427,,R
BDCQ.SEA1BS,2022.06,5548,,R
BDCQ.SEA1BS,2022.09,5490,,R
BDCQ.SEA1BS,2022.12,5653,,R
BDCQ.SEA1BS,2023.03,5717,,R
BDCQ.SEA1BS,2023.06,5874,,F
BDCQ.SEA1BT,2011.06,5198,,R
BDCQ.SEA1BT,2011.09,5309,,R
BDCQ.SEA1BT,2011.12,5517,,R
BDCQ.SEA1BT,2012.03,5761,,R
BDCQ.SEA1BT,2012.06,5893,,R
BDCQ.SEA1BT,2012.09,5881,,R
BDCQ.SEA1BT,2012.12,5718,,R
BDCQ.SEA1BT,2013.03,5526,,R
BDCQ.SEA1BT,2013.06,5494,,R
BDCQ.SEA1BT,2013.09,5492,,R
BDCQ.SEA1BT,2013.12,5637,,R
BDCQ.SEA1BT,2014.03,5873,,R
BDCQ.SEA1BT,2014.06,5949,,R
BDCQ.SEA1BT,2014.09,5790,,R
BDCQ.SEA1BT,2014.12,5580,,R
BDCQ.SEA1BT,2015.03,5425,,R
BDCQ.SEA1BT,2015.06,5353,,R
BDCQ.SEA1BT,2015.09,5212,,R
BDCQ.SEA1BT,2015.12,5112,,R
BDCQ.SEA1BT,2016.03,5126,,R
BDCQ.SEA1BT,2016.06,5124,,R
BDCQ.SEA1BT,2016.09,5108,,R
BDCQ.SEA1BT,2016.12,5185,,R
BDCQ.SEA1BT,2017.03,5217,,R
BDCQ.SEA1BT,2017.06,5191,,R
BDCQ.SEA1BT,2017.09,5230,,R
BDCQ.SEA1BT,2017.12,5343,,R
BDCQ.SEA1BT,2018.03,5383,,R
BDCQ.SEA1BT,2018.06,5400,,R
BDCQ.SEA1BT,2018.09,5439,,R
BDCQ.SEA1BT,2018.12,5461,,R
BDCQ.SEA1BT,2019.03,5391,,R
BDCQ.SEA1BT,2019.06,5280,,R
BDCQ.SEA1BT,2019.09,5188,,R
BDCQ.SEA1BT,2019.12,5200,,R
BDCQ.SEA1BT,2020.03,5228,,R
BDCQ.SEA1BT,2020.06,5286,,R
BDCQ.SEA1BT,2020.09,5309,,R
BDCQ.SEA1BT,2020.12,5338,,R
BDCQ.SEA1BT,2021.03,5353,,R
BDCQ.SEA1BT,2021.06,5363,,R
BDCQ.SEA1BT,2021.09,5363,,R
BDCQ.SEA1BT,2021.12,5393,,R
BDCQ.SEA1BT,2022.03,5458,,R
BDCQ.SEA1BT,2022.06,5498,,R
BDCQ.SEA1BT,2022.09,5543,,R
BDCQ.SEA1BT,2022.12,5615,,R
BDCQ.SEA1BT,2023.03,5748,,R
BDCQ.SEA1BT,2023.06,5850,,F
BDCQ.SEA1CA,2011.06,206633,,F
BDCQ.SEA1CA,2011.09,200677,,F
BDCQ.SEA1CA,2011.12,204217,,F
BDCQ.SEA1CA,2012.03,208617,,F
BDCQ.SEA1CA,2012.06,206645,,F
BDCQ.SEA1CA,2012.09,199425,,F
BDCQ.SEA1CA,2012.12,203691,,F
BDCQ.SEA1CA,2013.03,208709,,F
BDCQ.SEA1CA,2013.06,205207,,F
BDCQ.SEA1CA,2013.09,201457,,F
BDCQ.SEA1CA,2013.12,207492,,F
BDCQ.SEA1CA,2014.03,211991,,F
BDCQ.SEA1CA,2014.06,210124,,F
BDCQ.SEA1CA,2014.09,205440,,F
BDCQ.SEA1CA,2014.12,207594,,F
BDCQ.SEA1CA,2015.03,214158,,F
BDCQ.SEA1CA,2015.06,212246,,F
BDCQ.SEA1CA,2015.09,207462,,F
BDCQ.SEA1CA,2015.12,211402,,F
BDCQ.SEA1CA,2016.03,216597,,F
BDCQ.SEA1CA,2016.06,214710,,F
BDCQ.SEA1CA,2016.09,209854,,F
BDCQ.SEA1CA,2016.12,215317,,F
BDCQ.SEA1CA,2017.03,219090,,F
BDCQ.SEA1CA,2017.06,219130,,F
BDCQ.SEA1CA,2017.09,213648,,F
BDCQ.SEA1CA,2017.12,220066,,F
BDCQ.SEA1CA,2018.03,225445,,F
BDCQ.SEA1CA,2018.06,224308,,F
BDCQ.SEA1CA,2018.09,218059,,F
BDCQ.SEA1CA,2018.12,223667,,F
BDCQ.SEA1CA,2019.03,227931,,F
BDCQ.SEA1CA,2019.06,225492,,F
BDCQ.SEA1CA,2019.09,219991,,F
BDCQ.SEA1CA,2019.12,227095,,F
BDCQ.SEA1CA,2020.03,228672,,F
BDCQ.SEA1CA,2020.06,224825,,F
BDCQ.SEA1CA,2020.09,218967,,R
BDCQ.SEA1CA,2020.12,222691,,R
BDCQ.SEA1CA,2021.03,223355,,R
BDCQ.SEA1CA,2021.06,224296,,R
BDCQ.SEA1CA,2021.09,221282,,R
BDCQ.SEA1CA,2021.12,226109,,R
BDCQ.SEA1CA,2022.03,228608,,R
BDCQ.SEA1CA,2022.06,226870,,R
BDCQ.SEA1CA,2022.09,224994,,R
BDCQ.SEA1CA,2022.12,229708,,R
BDCQ.SEA1CA,2023.03,232496,,F
BDCQ.SEA1CA,2023.06,232854,,F
BDCQ.SEA1CS,2011.06,205546,,R
BDCQ.SEA1CS,2011.09,205226,,R
BDCQ.SEA1CS,2011.12,204628,,R
BDCQ.SEA1CS,2012.03,204756,,R
BDCQ.SEA1CS,2012.06,205574,,R
BDCQ.SEA1CS,2012.09,203885,,R
BDCQ.SEA1CS,2012.12,204141,,R
BDCQ.SEA1CS,2013.03,204864,,R
BDCQ.SEA1CS,2013.06,204151,,R
BDCQ.SEA1CS,2013.09,205897,,R
BDCQ.SEA1CS,2013.12,207953,,R
BDCQ.SEA1CS,2014.03,208158,,R
BDCQ.SEA1CS,2014.06,209034,,R
BDCQ.SEA1CS,2014.09,209916,,R
BDCQ.SEA1CS,2014.12,208006,,R
BDCQ.SEA1CS,2015.03,210421,,R
BDCQ.SEA1CS,2015.06,211082,,R
BDCQ.SEA1CS,2015.09,211980,,R
BDCQ.SEA1CS,2015.12,211741,,R
BDCQ.SEA1CS,2016.03,212943,,R
BDCQ.SEA1CS,2016.06,213483,,R
BDCQ.SEA1CS,2016.09,214482,,R
BDCQ.SEA1CS,2016.12,215489,,R
BDCQ.SEA1CS,2017.03,215535,,R
BDCQ.SEA1CS,2017.06,217881,,R
BDCQ.SEA1CS,2017.09,218412,,R
BDCQ.SEA1CS,2017.12,219981,,R
BDCQ.SEA1CS,2018.03,221986,,R
BDCQ.SEA1CS,2018.06,223113,,R
BDCQ.SEA1CS,2018.09,222870,,R
BDCQ.SEA1CS,2018.12,223299,,R
BDCQ.SEA1CS,2019.03,224674,,R
BDCQ.SEA1CS,2019.06,224484,,R
BDCQ.SEA1CS,2019.09,224587,,R
BDCQ.SEA1CS,2019.12,226529,,R
BDCQ.SEA1CS,2020.03,225692,,R
BDCQ.SEA1CS,2020.06,223999,,R
BDCQ.SEA1CS,2020.09,223196,,R
BDCQ.SEA1CS,2020.12,222031,,R
BDCQ.SEA1CS,2021.03,220708,,R
BDCQ.SEA1CS,2021.06,223642,,R
BDCQ.SEA1CS,2021.09,225177,,R
BDCQ.SEA1CS,2021.12,225398,,R
BDCQ.SEA1CS,2022.03,226187,,R
BDCQ.SEA1CS,2022.06,226243,,R
BDCQ.SEA1CS,2022.09,228682,,R
BDCQ.SEA1CS,2022.12,229007,,R
BDCQ.SEA1CS,2023.03,230196,,R
BDCQ.SEA1CS,2023.06,232222,,F
BDCQ.SEA1CT,2011.06,205597,,R
BDCQ.SEA1CT,2011.09,205138,,R
BDCQ.SEA1CT,2011.12,204706,,R
BDCQ.SEA1CT,2012.03,204980,,R
BDCQ.SEA1CT,2012.06,205002,,R
BDCQ.SEA1CT,2012.09,204320,,R
BDCQ.SEA1CT,2012.12,204177,,R
BDCQ.SEA1CT,2013.03,204437,,R
BDCQ.SEA1CT,2013.06,204595,,R
BDCQ.SEA1CT,2013.09,205898,,R
BDCQ.SEA1CT,2013.12,207609,,R
BDCQ.SEA1CT,2014.03,208392,,R
BDCQ.SEA1CT,2014.06,209098,,R
BDCQ.SEA1CT,2014.09,209557,,R
BDCQ.SEA1CT,2014.12,209678,,R
BDCQ.SEA1CT,2015.03,210198,,R
BDCQ.SEA1CT,2015.06,211236,,R
BDCQ.SEA1CT,2015.09,211690,,R
BDCQ.SEA1CT,2015.12,212085,,R
BDCQ.SEA1CT,2016.03,212706,,R
BDCQ.SEA1CT,2016.06,213598,,R
BDCQ.SEA1CT,2016.09,214520,,R
BDCQ.SEA1CT,2016.12,215178,,R
BDCQ.SEA1CT,2017.03,216077,,R
BDCQ.SEA1CT,2017.06,217369,,R
BDCQ.SEA1CT,2017.09,218666,,R
BDCQ.SEA1CT,2017.12,220034,,R
BDCQ.SEA1CT,2018.03,221926,,R
BDCQ.SEA1CT,2018.06,222927,,R
BDCQ.SEA1CT,2018.09,223000,,R
BDCQ.SEA1CT,2018.12,223503,,R
BDCQ.SEA1CT,2019.03,224353,,R
BDCQ.SEA1CT,2019.06,224507,,R
BDCQ.SEA1CT,2019.09,225040,,R
BDCQ.SEA1CT,2019.12,226049,,R
BDCQ.SEA1CT,2020.03,225705,,R
BDCQ.SEA1CT,2020.06,224219,,R
BDCQ.SEA1CT,2020.09,223042,,R
BDCQ.SEA1CT,2020.12,221911,,R
BDCQ.SEA1CT,2021.03,221807,,R
BDCQ.SEA1CT,2021.06,223409,,R
BDCQ.SEA1CT,2021.09,224998,,R
BDCQ.SEA1CT,2021.12,225631,,R
BDCQ.SEA1CT,2022.03,225892,,R
BDCQ.SEA1CT,2022.06,226685,,R
BDCQ.SEA1CT,2022.09,227911,,R
BDCQ.SEA1CT,2022.12,229111,,R
BDCQ.SEA1CT,2023.03,230388,,R
BDCQ.SEA1CT,2023.06,231946,,F
BDCQ.SEA1DA,2011.06,14486,,F
BDCQ.SEA1DA,2011.09,14796,,F
BDCQ.SEA1DA,2011.12,15026,,F
BDCQ.SEA1DA,2012.03,15065,,F
BDCQ.SEA1DA,2012.06,15046,,F
BDCQ.SEA1DA,2012.09,15188,,F
BDCQ.SEA1DA,2012.12,15269,,F
BDCQ.SEA1DA,2013.03,15844,,F
BDCQ.SEA1DA,2013.06,15895,,F
BDCQ.SEA1DA,2013.09,15773,,F
BDCQ.SEA1DA,2013.12,16010,,F
BDCQ.SEA1DA,2014.03,15570,,F
BDCQ.SEA1DA,2014.06,15347,,F
BDCQ.SEA1DA,2014.09,15515,,F
BDCQ.SEA1DA,2014.12,15830,,F
BDCQ.SEA1DA,2015.03,16017,,F
BDCQ.SEA1DA,2015.06,15972,,F
BDCQ.SEA1DA,2015.09,15962,,F
BDCQ.SEA1DA,2015.12,16143,,F
BDCQ.SEA1DA,2016.03,16372,,F
BDCQ.SEA1DA,2016.06,16416,,F
BDCQ.SEA1DA,2016.09,16533,,F
BDCQ.SEA1DA,2016.12,16245,,F
BDCQ.SEA1DA,2017.03,17207,,F
BDCQ.SEA1DA,2017.06,17243,,F
BDCQ.SEA1DA,2017.09,17678,,F
BDCQ.SEA1DA,2017.12,18145,,F
BDCQ.SEA1DA,2018.03,18505,,F
BDCQ.SEA1DA,2018.06,18511,,F
BDCQ.SEA1DA,2018.09,18512,,F
BDCQ.SEA1DA,2018.12,18812,,F
BDCQ.SEA1DA,2019.03,18937,,F
BDCQ.SEA1DA,2019.06,19046,,F
BDCQ.SEA1DA,2019.09,19316,,F
BDCQ.SEA1DA,2019.12,19634,,F
BDCQ.SEA1DA,2020.03,19770,,F
BDCQ.SEA1DA,2020.06,19791,,F
BDCQ.SEA1DA,2020.09,20060,,R
BDCQ.SEA1DA,2020.12,20282,,R
BDCQ.SEA1DA,2021.03,20618,,R
BDCQ.SEA1DA,2021.06,20644,,R
BDCQ.SEA1DA,2021.09,20738,,R
BDCQ.SEA1DA,2021.12,21113,,R
BDCQ.SEA1DA,2022.03,21386,,R
BDCQ.SEA1DA,2022.06,22052,,R
BDCQ.SEA1DA,2022.09,21892,,R
BDCQ.SEA1DA,2022.12,22208,,R
BDCQ.SEA1DA,2023.03,22680,,F
BDCQ.SEA1DA,2023.06,22361,,F
BDCQ.SEA1DS,2011.06,14486,,R
BDCQ.SEA1DS,2011.09,14796,,R
BDCQ.SEA1DS,2011.12,15026,,R
BDCQ.SEA1DS,2012.03,15065,,R
BDCQ.SEA1DS,2012.06,15046,,R
BDCQ.SEA1DS,2012.09,15188,,R
BDCQ.SEA1DS,2012.12,15269,,R
BDCQ.SEA1DS,2013.03,15844,,R
BDCQ.SEA1DS,2013.06,15895,,R
BDCQ.SEA1DS,2013.09,15773,,R
BDCQ.SEA1DS,2013.12,16010,,R
BDCQ.SEA1DS,2014.03,15570,,R
BDCQ.SEA1DS,2014.06,15347,,R
BDCQ.SEA1DS,2014.09,15515,,R
BDCQ.SEA1DS,2014.12,15830,,R
BDCQ.SEA1DS,2015.03,16017,,R
BDCQ.SEA1DS,2015.06,15972,,R
BDCQ.SEA1DS,2015.09,15962,,R
BDCQ.SEA1DS,2015.12,16143,,R
BDCQ.SEA1DS,2016.03,16372,,R
BDCQ.SEA1DS,2016.06,16416,,R
BDCQ.SEA1DS,2016.09,16533,,R
BDCQ.SEA1DS,2016.12,16245,,R
BDCQ.SEA1DS,2017.03,17207,,R
BDCQ.SEA1DS,2017.06,17243,,R
BDCQ.SEA1DS,2017.09,17678,,R
BDCQ.SEA1DS,2017.12,18145,,R
BDCQ.SEA1DS,2018.03,18505,,R
BDCQ.SEA1DS,2018.06,18511,,R
BDCQ.SEA1DS,2018.09,18512,,R
BDCQ.SEA1DS,2018.12,18812,,R
BDCQ.SEA1DS,2019.03,18937,,R
BDCQ.SEA1DS,2019.06,19046,,R
BDCQ.SEA1DS,2019.09,19316,,R
BDCQ.SEA1DS,2019.12,19634,,R
BDCQ.SEA1DS,2020.03,19770,,R
BDCQ.SEA1DS,2020.06,19791,,R
BDCQ.SEA1DS,2020.09,20060,,R
BDCQ.SEA1DS,2020.12,20282,,R
BDCQ.SEA1DS,2021.03,20618,,R
BDCQ.SEA1DS,2021.06,20644,,R
BDCQ.SEA1DS,2021.09,20738,,R
BDCQ.SEA1DS,2021.12,21113,,R
BDCQ.SEA1DS,2022.03,21386,,R
BDCQ.SEA1DS,2022.06,22052,,R
BDCQ.SEA1DS,2022.09,21892,,R
BDCQ.SEA1DS,2022.12,22208,,R
BDCQ.SEA1DS,2023.03,22680,,R
BDCQ.SEA1DS,2023.06,22361,,F
BDCQ.SEA1DT,2011.06,14501,,R
BDCQ.SEA1DT,2011.09,14785,,R
BDCQ.SEA1DT,2011.12,15008,,R
BDCQ.SEA1DT,2012.03,15059,,R
BDCQ.SEA1DT,2012.06,15077,,R
BDCQ.SEA1DT,2012.09,15136,,R
BDCQ.SEA1DT,2012.12,15395,,R
BDCQ.SEA1DT,2013.03,15749,,R
BDCQ.SEA1DT,2013.06,15895,,R
BDCQ.SEA1DT,2013.09,15827,,R
BDCQ.SEA1DT,2013.12,15752,,R
BDCQ.SEA1DT,2014.03,15562,,R
BDCQ.SEA1DT,2014.06,15393,,R
BDCQ.SEA1DT,2014.09,15517,,R
BDCQ.SEA1DT,2014.12,15817,,R
BDCQ.SEA1DT,2015.03,15990,,R
BDCQ.SEA1DT,2015.06,15980,,R
BDCQ.SEA1DT,2015.09,15984,,R
BDCQ.SEA1DT,2015.12,16150,,R
BDCQ.SEA1DT,2016.03,16336,,R
BDCQ.SEA1DT,2016.06,16442,,R
BDCQ.SEA1DT,2016.09,16508,,R
BDCQ.SEA1DT,2016.12,16658,,R
BDCQ.SEA1DT,2017.03,16909,,R
BDCQ.SEA1DT,2017.06,17259,,R
BDCQ.SEA1DT,2017.09,17681,,R
BDCQ.SEA1DT,2017.12,18153,,R
BDCQ.SEA1DT,2018.03,18461,,R
BDCQ.SEA1DT,2018.06,18514,,R
BDCQ.SEA1DT,2018.09,18569,,R
BDCQ.SEA1DT,2018.12,18765,,R
BDCQ.SEA1DT,2019.03,18936,,R
BDCQ.SEA1DT,2019.06,19067,,R
BDCQ.SEA1DT,2019.09,19325,,R
BDCQ.SEA1DT,2019.12,19612,,R
BDCQ.SEA1DT,2020.03,19748,,R
BDCQ.SEA1DT,2020.06,19839,,R
BDCQ.SEA1DT,2020.09,20027,,R
BDCQ.SEA1DT,2020.12,20325,,R
BDCQ.SEA1DT,2021.03,20559,,R
BDCQ.SEA1DT,2021.06,20656,,R
BDCQ.SEA1DT,2021.09,20765,,R
